"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","response","id_correct"
"119","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",61,"id","Tamil","tamil","audio","female","urdu",0
"120","india-socioling","zenith","Z03C14",3,3,8.1,-2.50521797115946,"male","hindu","marathi","marathi","marathi gujarati",62,"id","Urdu","urdu","audio","female","gujarati",0
"121","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",59,"id","Urdu","urdu","audio","female","hindi",0
"122","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",60,"id","Hindi","hindi","audio","female","hindi",1
"123","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",61,"id","English (India)","english","audio","female","english",1
"124","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",62,"id","English (U.S.)","english","audio","female","english",1
"125","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",63,"id","Marathi","marathi","audio","female","tamil",0
"126","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",64,"id","Mandarin","chinese","audio","female","english",0
"127","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",65,"id","Tamil","tamil","audio","female","tamil",1
"128","india-socioling","zenith","Z03C16",3,3,8.3,-2.30521797115945,"male","hindu","hindi","hindi","hindi",66,"id","Gujarati","gujarati","audio","female","tamil",0
"129","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",59,"id","Urdu","urdu","audio","female","tamil",0
"130","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",60,"id","Hindi","hindi","audio","female","hindi",1
"131","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",61,"id","English (India)","english","audio","female","english",1
"132","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",62,"id","English (U.S.)","english","audio","female","english",1
"133","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",63,"id","Marathi","marathi","audio","female","tamil",0
"134","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",64,"id","Mandarin","chinese","audio","female","chinese",0
"135","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",65,"id","Tamil","tamil","audio","female","tamil",1
"136","india-socioling","zenith","Z03C18",3,3,8.6,-2.00521797115946,"male","hindu","hindi","hindi","hindi gujarati english",66,"id","Gujarati","gujarati","audio","female","hindi",0
"137","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",59,"id","Urdu","urdu","audio","female","muslim",0
